cpu,ram,disk,network,label
91.83,88.57,93.35,5276.07,1
76.9,62.86,71.58,588.64,1
4.44,27.3,100.0,224.25,1
30.38,36.62,34.37,85.13,0
34.64,27.39,46.7,65.14,0
39.68,33.1,27.09,189.69,0
26.29,72.99,81.8,113.07,1
30.38,50.65,63.83,183.92,0
35.82,56.45,45.04,143.1,0
55.21,53.62,29.54,201.07,0
21.56,46.25,37.22,160.07,0
30.9,65.21,33.45,124.74,0
23.74,45.95,48.75,191.28,0
40.69,37.44,42.67,102.43,0
24.5,44.47,39.92,106.38,0
29.71,40.67,43.17,131.6,0
58.07,62.08,53.92,244.95,0
98.02,93.51,93.27,5011.23,1
33.87,37.71,38.12,133.3,0
49.73,58.55,39.8,251.82,0
6.13,26.67,100.0,130.85,1
14.29,40.35,45.38,13.15,0
76.45,61.74,75.95,850.07,1
27.02,33.9,55.56,174.97,0
39.23,55.08,62.84,112.83,0
42.88,34.28,52.65,217.97,1
40.44,33.14,33.35,193.19,0
58.46,67.59,38.39,240.48,0
19.47,36.51,63.44,213.42,0
17.38,53.27,49.74,78.48,0
83.13,81.49,47.82,142.3,1
0.04,26.69,29.38,82.68,0
76.98,19.95,50.19,1655.96,1
40.29,49.79,93.81,193.44,0
45.49,78.4,97.21,135.39,1
32.93,44.69,23.19,194.65,0
23.49,39.56,37.75,147.08,0
24.19,94.72,100.0,85.08,1
9.48,30.14,43.82,146.02,0
86.74,21.47,43.81,104.92,1
79.8,100.0,46.5,38.1,1
9.32,26.88,55.14,35.36,0
42.14,42.23,47.76,192.09,0
44.2,30.12,71.23,76.96,0
34.4,96.14,49.69,202.97,1
19.69,42.35,59.32,139.59,0
30.34,40.77,56.87,197.67,0
0.0,16.1,50.0,140.61,0
35.17,35.79,50.99,120.01,0
21.84,54.5,56.43,67.48,0
33.9,90.6,100.0,157.26,1
44.64,49.39,50.17,127.98,0
12.74,36.88,55.81,144.16,0
31.98,27.21,59.28,155.04,0
44.17,66.1,45.61,149.4,0
32.01,62.1,61.44,229.94,0
34.48,34.55,38.5,177.52,0
44.02,54.0,56.46,193.66,0
86.41,41.53,38.82,154.53,1
51.25,57.14,42.12,201.64,0
27.23,32.46,40.61,136.58,0
9.99,26.18,30.57,32.46,0
98.19,98.9,93.12,3430.3,1
90.74,64.68,32.64,4220.38,1
35.38,57.56,53.81,137.01,0
41.02,46.55,41.31,177.4,0
0.0,0.56,38.32,10.0,0
65.22,76.31,60.13,253.55,0
56.3,50.49,43.67,101.76,0
55.3,42.66,66.43,254.28,0
40.22,30.9,61.77,183.45,0
0.0,44.57,16.97,155.13,0
29.43,54.58,44.98,191.12,0
87.14,35.39,29.71,1568.28,1
13.77,52.15,42.65,99.87,0
39.38,36.56,37.23,181.74,0
91.75,95.0,91.86,6707.74,1
28.45,79.51,86.07,156.49,1
17.91,34.23,52.06,161.28,0
38.46,38.78,66.55,197.7,0
20.0,48.68,27.34,57.93,0
80.49,96.42,96.56,5872.64,1
35.04,35.86,39.8,180.63,0
19.13,46.97,38.09,181.12,0
11.43,38.67,42.72,100.22,0
39.04,37.08,41.17,183.81,0
28.86,43.94,51.25,96.99,0
63.82,62.51,61.62,223.19,0
92.71,83.41,48.8,145.74,1
27.77,35.38,51.44,54.48,0
48.08,59.98,63.53,127.84,0
38.45,40.59,43.59,212.63,0
13.99,28.04,22.98,23.16,0
49.8,44.84,57.5,210.9,0
22.37,36.01,65.33,119.66,0
26.89,22.84,46.96,260.65,0
0.0,26.24,56.13,75.81,0
47.92,58.61,47.95,154.62,0
40.84,55.43,37.57,145.46,0
91.35,90.65,93.39,5356.29,1
31.93,25.77,33.88,67.73,0
51.92,48.48,41.09,216.46,0
75.76,86.15,46.53,106.64,1
100.0,93.3,95.06,5963.81,1
31.22,36.82,39.43,156.61,0
34.59,10.63,17.34,78.64,0
22.92,100.0,33.95,91.87,1
97.48,32.77,35.81,150.38,1
45.33,80.8,94.13,116.75,1
46.54,53.29,50.06,198.59,0
33.21,46.08,34.67,169.65,0
27.0,100.0,42.96,148.91,1
24.7,55.46,52.85,105.5,0
98.87,96.23,66.26,193.79,1
95.62,53.57,67.35,209.48,1
97.12,92.38,97.99,8251.46,1
32.91,22.93,42.87,95.61,0
34.74,32.01,20.29,141.77,0
44.23,48.05,80.91,255.63,0
28.18,43.15,31.6,128.01,0
48.59,54.16,59.62,179.25,0
40.97,72.38,88.32,135.15,1
29.59,41.84,44.94,218.58,0
25.15,30.43,69.5,149.23,0
24.73,58.19,48.91,84.92,0
56.25,55.84,76.0,221.33,0
4.07,97.92,43.71,54.36,1
25.27,25.31,51.69,116.79,0
41.49,39.51,43.89,136.58,0
80.93,95.87,54.91,158.38,1
27.04,43.93,30.46,156.74,0
56.97,37.54,91.2,175.98,1
45.74,46.02,29.58,195.87,0
44.8,93.04,84.1,221.52,0
37.41,25.22,35.74,120.49,0
29.08,38.0,46.35,157.95,0
27.99,42.61,44.29,142.31,0
57.29,57.69,63.4,196.52,0
43.73,45.28,44.82,175.49,0
82.48,91.96,52.73,108.2,1
38.22,42.15,47.13,199.44,0
1.25,31.82,45.3,176.95,0
29.99,47.51,46.91,209.02,0
97.56,27.33,50.68,1129.13,1
26.31,48.5,41.42,105.44,0
42.73,57.21,62.19,264.74,0
28.41,30.92,56.69,185.76,0
18.99,53.95,55.28,137.77,0
26.53,26.75,52.15,113.65,0
39.16,50.04,97.91,181.2,1
50.94,40.79,45.62,191.47,0
26.95,51.58,48.96,180.87,0
18.49,27.57,49.93,153.87,0
48.05,46.49,50.27,128.69,0
29.42,32.08,38.9,189.42,0
45.45,50.11,46.31,195.19,0
28.29,56.55,64.58,207.59,0
53.75,95.99,69.65,230.6,1
59.39,78.64,48.57,205.15,0
4.19,29.12,40.94,10.0,0
84.64,95.46,27.18,162.27,1
25.56,40.62,30.62,265.0,0
42.64,49.23,61.0,219.24,0
100.0,85.3,89.46,8166.47,1
1.71,12.94,23.12,37.61,0
34.32,39.49,43.98,87.55,0
40.2,50.62,49.11,127.14,0
52.02,52.76,29.71,185.53,0
22.75,50.84,25.45,62.66,0
15.88,5.49,45.92,128.31,0
93.03,89.53,46.4,107.46,1
77.5,74.08,82.98,265.56,1
53.94,70.86,42.96,258.05,0
19.57,79.88,52.61,101.3,1
61.74,62.8,49.63,232.84,0
52.76,85.41,36.81,259.56,1
18.09,20.85,39.41,61.29,0
33.29,35.48,39.0,167.05,0
5.18,13.24,51.63,144.76,0
56.04,36.45,65.69,303.3,0
28.64,44.48,32.62,151.78,0
36.4,57.74,24.1,193.49,0
71.04,64.88,87.25,685.47,1
9.35,22.06,43.49,187.5,0
36.85,33.12,47.25,123.64,0
49.44,67.42,46.31,232.89,0
27.43,69.78,91.48,146.41,1
67.61,66.3,43.54,259.12,0
34.24,27.2,50.38,199.85,0
27.28,36.0,33.62,130.77,0
19.95,34.81,55.88,79.64,0
26.13,35.66,29.8,185.88,0
90.94,95.84,100.0,5431.31,1
87.92,28.83,36.19,92.9,1
21.7,49.47,66.3,193.04,0
12.2,25.14,31.87,17.67,0
32.94,39.96,37.93,77.25,0
0.0,9.86,42.79,30.63,0
36.68,45.75,48.23,477.19,1
3.61,17.54,39.85,38.59,0
31.55,45.22,62.79,77.98,0
51.71,31.54,68.81,242.08,0
25.03,38.17,35.22,104.51,0
29.17,35.64,33.61,233.42,0
95.98,88.45,38.5,129.47,1
35.79,49.68,48.42,92.17,0
27.05,47.69,94.25,122.67,1
95.17,28.04,36.63,107.76,1
15.26,27.33,35.25,158.7,0
31.64,56.2,31.85,220.83,0
13.6,30.59,37.19,74.63,0
28.42,48.41,31.13,157.6,0
37.27,38.6,55.83,131.89,0
6.91,32.33,36.51,141.66,0
44.96,41.66,59.53,179.37,0
23.83,31.19,51.05,92.35,0
0.04,2.1,29.53,47.78,0
70.26,49.08,63.0,212.06,1
34.12,41.69,38.6,205.21,0
46.57,51.42,42.67,201.4,0
14.36,37.91,38.22,111.38,0
41.12,42.59,45.36,148.06,0
87.62,46.79,31.78,161.88,1
0.72,9.66,45.55,104.66,0
25.13,40.55,53.68,175.57,0
29.7,26.85,56.65,121.08,0
47.34,48.26,32.75,192.5,0
22.43,20.06,47.68,152.89,0
53.7,47.5,25.07,189.76,0
29.59,48.11,43.9,164.46,0
20.69,32.69,51.02,208.44,0
94.62,33.95,50.31,3218.02,1
49.79,50.31,65.3,152.2,0
39.76,45.63,39.53,135.93,0
15.56,88.65,88.53,205.04,1
51.43,38.06,41.88,157.06,0
21.18,39.68,50.22,113.57,0
73.14,75.46,89.89,538.5,1
27.9,46.83,39.6,183.96,0
2.84,10.55,37.0,10.0,0
40.84,47.01,54.99,183.63,0
46.47,69.86,71.89,187.34,0
88.97,47.11,39.89,1709.82,1
18.27,35.04,51.83,84.8,0
23.57,35.65,28.8,58.44,0
18.22,34.38,21.12,87.77,0
21.21,16.9,68.43,108.78,0
28.3,36.19,49.15,209.86,0
27.67,40.46,65.26,134.87,0
23.54,39.85,12.5,76.45,0
22.06,45.47,42.13,95.68,0
24.13,32.22,38.91,109.51,0
13.41,22.29,43.91,104.85,0
36.68,38.98,42.67,5829.46,1
44.69,38.54,61.77,169.21,0
48.55,58.77,48.64,148.76,0
94.25,92.54,41.57,138.56,1
37.02,53.1,43.51,147.83,0
32.63,32.64,38.77,170.71,0
33.92,47.41,42.27,116.23,0
83.43,51.85,30.93,199.79,1
21.7,43.79,30.45,223.84,0
44.5,82.6,92.82,169.13,1
16.13,24.59,35.94,127.05,0
43.37,52.79,55.89,219.61,0
26.47,34.61,92.71,127.02,1
46.55,51.39,56.72,178.61,0
43.57,54.44,72.39,194.41,0
45.04,59.99,35.77,260.51,0
50.09,43.34,57.81,198.59,0
52.57,47.3,66.49,212.73,0
21.58,27.17,90.13,108.23,1
15.68,19.92,33.77,162.47,0
20.25,40.78,52.37,112.17,0
11.8,34.22,40.28,89.22,0
17.87,26.37,35.03,24.34,0
53.5,40.31,39.08,341.24,0
23.95,35.57,37.77,50.11,0
13.35,29.85,52.78,135.59,0
42.48,53.93,48.13,207.75,0
42.09,57.9,61.63,242.88,0
21.52,32.12,34.65,126.41,0
45.74,47.62,38.12,210.31,0
40.44,33.83,66.95,111.95,0
40.1,32.06,46.24,177.36,0
27.36,30.3,43.43,183.04,0
21.62,36.57,26.25,184.47,0
26.62,29.4,46.47,178.63,0
1.6,44.17,45.84,109.71,0
15.72,36.94,38.42,141.35,0
98.61,97.78,48.24,161.28,1
86.81,59.43,45.89,3162.75,1
3.51,23.56,22.82,87.55,0
25.59,18.91,46.25,147.4,0
26.2,41.85,50.78,107.35,0
77.91,81.08,52.13,188.88,1
34.69,49.26,23.41,145.57,0
0.0,26.34,52.67,184.01,0
14.42,35.25,35.95,71.1,0
34.92,90.15,87.94,163.56,1
34.5,49.61,47.76,219.9,0
17.8,31.9,52.42,118.93,0
29.47,28.15,37.0,62.38,0
36.74,56.28,60.42,153.24,0
13.6,51.84,50.3,172.99,0
32.95,46.03,38.14,104.58,0
29.38,42.31,48.02,153.94,0
39.57,39.82,55.95,217.95,0
42.78,43.28,36.17,157.54,0
19.53,27.62,42.56,114.81,0
8.98,93.75,25.73,100.63,1
4.61,17.0,25.68,118.88,0
15.35,36.87,44.98,143.17,0
35.86,94.96,54.01,276.45,1
9.48,14.59,24.98,47.12,0
26.45,55.69,52.51,189.2,0
17.85,36.34,33.26,142.94,0
63.92,67.08,71.19,831.16,1
34.7,87.17,75.37,176.12,1
39.77,46.99,55.91,194.07,0
25.8,31.28,36.31,90.26,0
31.68,46.81,28.37,63.74,0
1.81,37.07,34.14,77.95,0
44.1,44.14,55.46,126.43,0
17.75,44.05,51.01,163.33,0
6.37,32.06,34.21,119.38,0
10.03,8.83,22.67,71.52,0
17.64,20.67,31.57,33.93,0
55.95,69.66,46.41,235.55,0
97.95,81.41,48.49,188.96,1
27.73,62.23,70.19,198.79,0
58.05,77.4,59.41,275.78,0
21.16,37.96,49.44,137.13,0
39.01,42.37,50.0,176.45,0
58.98,68.82,79.41,208.22,0
44.22,48.56,42.62,209.78,0
33.28,50.32,51.32,144.8,0
29.35,44.73,60.46,211.22,0
11.02,23.38,30.62,128.58,0
25.81,33.81,92.83,181.31,1
45.89,57.42,22.11,218.86,0
26.88,19.54,45.84,162.68,0
92.39,45.51,42.05,1976.97,1
34.9,39.5,30.21,112.61,0
32.32,52.56,66.96,197.46,0
35.76,51.84,32.86,146.91,0
13.23,31.55,34.34,103.99,0
23.16,25.22,22.22,64.39,0
0.0,33.04,28.77,117.49,0
80.13,47.4,44.72,144.1,1
28.38,41.13,29.67,187.33,0
57.83,52.76,50.89,173.66,0
35.03,42.8,49.89,141.86,0
34.92,40.56,44.75,192.78,0
5.68,24.96,50.38,67.65,0
21.16,63.36,49.06,225.18,0
65.93,62.66,50.48,212.24,0
37.52,44.48,41.1,137.19,0
80.61,34.48,56.34,1260.94,1
26.46,49.48,38.44,89.9,0
17.61,48.31,28.92,65.7,0
19.08,40.03,61.01,150.72,0
71.59,64.21,65.22,858.73,1
46.32,50.17,20.99,2102.42,1
34.72,40.04,44.96,101.12,0
48.42,22.07,93.15,155.03,1
15.8,19.98,27.87,125.21,0
45.19,35.8,63.59,192.84,0
25.72,31.68,32.13,202.78,0
6.78,38.65,30.99,21.1,0
23.51,40.55,41.0,188.2,0
40.88,39.53,45.77,206.28,0
10.57,22.97,43.39,190.26,0
7.87,25.5,23.97,99.46,0
91.17,31.06,20.83,2395.03,1
18.11,49.61,42.76,86.04,0
30.78,16.06,66.11,148.06,0
82.48,48.84,36.48,277.76,1
33.66,38.97,52.85,107.7,0
25.6,31.46,66.11,83.37,0
46.14,54.39,17.02,220.15,0
20.97,53.61,58.75,184.04,0
15.87,26.54,36.4,132.77,0
24.73,29.13,62.6,199.14,0
11.38,36.18,37.64,189.71,0
35.71,37.39,45.81,165.25,0
50.89,48.61,63.03,210.41,0
17.07,24.9,55.99,163.82,0
100.0,28.18,35.38,52.81,1
28.44,29.38,54.48,181.97,0
88.67,89.66,99.02,4281.69,1
19.3,26.45,50.96,10.0,0
31.9,51.97,52.63,181.5,0
28.46,49.3,36.18,195.67,0
90.22,44.61,53.93,83.48,1
11.42,30.95,37.75,218.69,0
34.03,38.99,38.32,139.38,0
58.96,35.94,27.55,265.69,0
34.68,32.22,59.13,155.94,0
18.52,21.53,43.0,73.63,0
21.32,24.36,41.37,140.75,0
26.0,60.59,30.16,196.58,0
51.92,51.16,54.32,203.41,0
38.15,39.09,48.05,161.86,0
71.78,74.14,77.34,701.2,1
24.62,40.69,41.27,209.16,0
36.11,46.94,56.03,174.32,0
36.23,56.17,29.91,166.79,0
32.7,58.96,58.17,81.65,0
32.44,20.91,56.68,73.99,0
15.68,54.39,49.6,152.42,0
28.97,82.96,33.17,173.05,1
40.03,47.4,66.3,124.35,0
37.41,41.86,64.82,72.96,0
51.66,54.64,33.22,196.95,0
53.8,57.37,49.57,253.95,0
43.57,40.88,53.79,169.05,0
19.64,23.29,42.91,134.96,0
37.1,37.06,26.05,118.2,0
51.47,52.88,60.27,251.11,0
96.8,92.98,43.33,236.14,1
49.04,63.11,75.79,244.11,0
63.65,72.26,47.26,161.2,0
26.3,15.57,49.74,163.28,0
86.72,89.26,58.72,169.69,1
37.03,38.33,38.31,181.68,0
91.0,88.1,100.0,4345.23,1
13.01,41.72,45.25,168.11,0
23.2,34.68,37.25,139.17,0
23.56,39.61,46.35,106.02,0
31.12,54.35,40.57,185.31,0
49.38,100.0,83.97,163.43,1
31.35,49.66,46.46,89.26,0
84.49,90.69,92.55,7577.84,1
78.89,94.81,32.96,164.17,1
47.4,44.05,44.04,250.34,0
36.36,38.03,46.47,103.72,0
37.48,40.0,52.53,190.16,0
23.77,41.89,41.65,241.19,0
34.01,100.0,88.36,123.78,1
24.68,54.7,63.29,229.02,0
11.32,46.18,33.5,159.72,0
16.24,28.64,35.59,104.51,0
40.54,52.34,44.97,143.49,0
19.54,43.44,43.74,100.03,0
30.35,38.75,43.09,190.91,0
90.08,88.32,92.33,6438.29,1
9.85,19.04,36.78,160.81,0
42.06,69.94,50.31,203.59,0
22.83,30.84,45.55,1166.35,1
48.4,59.83,53.08,202.02,0
25.84,35.16,39.69,208.82,0
19.87,38.35,33.79,160.83,0
39.83,41.67,46.72,241.07,0
30.1,40.8,46.79,165.6,0
26.64,36.4,62.24,191.05,0
43.41,58.59,40.42,162.15,0
10.15,27.58,27.04,73.38,0
34.26,16.06,44.25,96.72,0
46.43,56.03,87.1,205.63,1
32.59,38.9,37.42,157.47,0
12.71,24.5,29.44,30.36,0
29.67,27.14,50.0,87.61,0
19.5,37.17,46.13,106.91,0
38.39,57.53,53.72,211.11,0
79.78,87.22,56.96,221.15,1
26.35,45.3,70.71,86.18,0
21.72,38.08,42.95,248.8,0
18.23,9.05,50.26,110.53,0
24.9,31.76,40.16,208.87,0
22.37,50.42,43.88,125.05,0
11.09,37.37,16.06,82.41,0
49.69,43.12,40.51,117.55,0
26.72,40.9,39.33,144.32,0
25.94,44.29,52.18,152.01,0
31.71,30.67,46.95,172.68,0
22.11,25.72,21.23,6514.64,1
20.44,52.28,44.74,121.08,0
15.41,23.65,14.77,98.21,0
21.87,33.01,41.42,110.37,0
48.61,60.27,46.98,193.33,0
0.0,14.32,11.43,56.24,0
27.86,46.11,50.05,172.0,0
98.29,32.87,35.02,1863.8,1
53.46,58.19,40.52,198.68,0
99.31,100.0,93.1,4739.29,1
18.24,40.85,39.39,120.72,0
34.24,21.42,60.12,5835.4,1
98.24,59.25,61.73,191.13,1
15.81,85.05,89.93,155.37,1
92.87,93.71,49.79,28.89,1
26.58,31.02,27.99,1653.97,1
41.94,60.4,39.19,233.65,0
18.08,29.97,25.77,116.92,0
43.98,41.79,61.77,189.93,0
12.08,41.08,52.24,195.35,0
12.03,25.37,64.8,65.35,0
17.61,36.09,43.3,135.64,0
91.02,96.42,94.78,7740.74,1
4.76,99.47,24.68,123.61,1
7.19,25.52,39.77,88.47,0
39.09,45.58,57.97,145.15,0
48.11,81.82,90.0,272.84,1
25.97,47.62,43.11,115.15,0
28.48,20.48,50.84,150.74,0
53.47,50.78,53.94,223.4,0
14.44,29.04,28.46,151.4,0
12.03,13.46,38.6,132.61,0
14.79,45.63,55.76,129.09,0
59.43,46.98,37.94,231.07,0
99.35,22.21,29.52,260.97,1
48.03,41.91,38.48,268.13,0
12.32,26.95,29.27,125.24,0
51.7,55.8,54.84,264.48,0
26.32,24.35,57.54,1277.36,1
23.89,33.31,54.05,205.91,0
33.24,43.18,42.72,78.79,0
45.66,51.59,32.65,162.57,0
30.91,33.43,49.87,134.84,0
27.99,49.59,47.03,171.01,0
24.42,35.46,13.77,76.22,0
51.04,45.73,90.07,189.16,1
28.89,49.53,63.15,209.19,0
69.85,80.71,89.46,447.6,1
15.47,21.08,45.95,79.91,0
25.52,49.77,48.46,79.39,0
34.51,49.9,59.94,192.35,0
17.23,30.3,27.35,88.92,0
36.12,55.13,73.12,140.73,0
28.71,37.97,31.7,117.68,0
29.54,36.21,39.87,212.16,0
29.68,32.53,100.0,75.82,1
33.65,35.02,26.44,153.66,0
46.52,64.54,56.37,242.39,0
25.71,25.25,44.31,35.37,0
25.76,47.69,49.27,145.65,0
12.53,19.22,92.37,39.57,1
92.94,100.0,100.0,6235.04,1
43.68,38.2,45.18,196.22,0
30.71,98.52,44.0,143.25,1
30.8,5.1,35.55,109.87,0
28.69,86.26,43.61,161.76,1
41.46,36.13,70.18,118.83,0
31.71,36.39,43.24,128.42,0
56.51,70.58,46.54,253.37,0
16.38,38.96,71.89,207.12,0
68.51,64.96,73.42,1010.19,1
0.0,35.16,58.13,72.6,0
3.96,30.66,53.26,75.47,0
31.93,61.18,53.15,212.66,0
44.41,49.16,74.05,149.69,0
7.66,74.8,37.28,71.87,1
16.7,72.84,24.94,112.68,1
30.42,54.17,64.75,149.56,0
16.59,27.75,34.63,166.47,0
62.67,61.06,43.29,243.99,0
28.67,62.81,44.79,219.35,0
9.94,47.3,46.57,157.99,0
30.08,51.69,51.98,135.63,0
0.0,39.98,37.57,84.58,0
36.03,99.53,58.58,164.19,1
24.39,46.39,41.16,58.7,0
89.84,95.42,97.13,7678.24,1
24.3,24.36,39.0,122.52,0
30.5,34.09,73.71,170.52,0
89.24,89.06,93.43,5738.41,1
19.14,21.83,49.91,154.62,0
21.82,34.48,44.24,95.59,0
21.22,25.42,37.48,114.08,0
14.44,50.44,21.72,158.95,0
1.64,86.84,43.81,102.08,1
7.43,27.37,32.61,91.45,0
69.78,69.81,70.91,693.86,1
19.48,36.45,36.23,36.45,0
0.0,45.24,52.91,80.16,0
42.2,40.53,38.96,216.05,0
35.77,54.09,39.42,287.77,0
23.99,24.96,46.94,177.21,0
41.42,52.7,57.65,138.36,0
28.59,46.95,56.6,177.47,0
18.09,28.39,30.8,154.53,0
22.31,46.89,57.91,154.21,0
31.23,41.97,39.25,158.3,0
22.9,54.66,39.71,166.28,0
43.04,33.71,44.6,220.87,0
22.46,38.51,30.12,118.67,0
10.87,27.12,49.69,75.22,0
33.92,42.4,62.52,191.33,0
13.05,17.17,20.76,1863.36,1
30.72,62.42,40.95,213.27,0
23.7,41.95,37.92,72.21,0
49.18,86.93,92.47,247.02,1
35.61,49.2,41.19,224.88,0
84.14,38.73,56.36,146.62,1
5.16,22.19,52.74,108.27,0
23.97,30.19,31.31,186.21,0
58.81,52.57,51.57,159.63,0
32.47,26.73,57.13,142.59,0
85.45,96.66,36.69,95.32,1
33.95,40.2,44.82,253.85,0
46.74,42.21,48.0,205.94,0
27.42,19.11,45.51,112.93,0
22.91,39.24,44.02,63.42,0
52.41,66.09,38.0,210.74,0
21.06,48.97,25.76,142.05,0
39.69,30.09,60.12,147.6,0
27.7,40.18,43.37,127.52,0
51.68,81.51,53.22,226.72,0
23.29,37.39,33.63,129.86,0
37.4,50.45,64.23,215.58,0
63.7,64.91,66.94,653.09,1
41.28,46.39,56.92,207.36,0
38.53,91.74,39.52,314.01,1
44.25,38.14,33.9,206.53,0
21.78,27.25,54.92,162.19,0
40.08,30.85,56.85,199.52,0
33.53,82.42,34.92,117.45,1
41.31,39.55,47.57,195.09,0
21.18,39.42,30.7,139.0,0
24.52,30.61,24.94,104.5,0
20.26,42.7,36.25,186.54,0
40.03,41.12,50.69,106.56,0
100.0,33.27,51.19,2824.58,1
19.39,31.53,46.35,60.79,0
31.03,44.79,39.38,149.31,0
19.77,29.44,33.13,91.37,0
37.87,41.99,68.7,251.6,0
19.31,26.18,38.49,186.8,0
33.8,67.36,68.46,177.56,0
34.43,44.97,39.32,178.87,0
33.03,36.59,51.14,226.43,0
31.89,32.31,46.65,164.24,0
34.1,32.86,39.96,214.86,0
41.23,38.94,52.57,140.33,0
28.52,43.82,30.86,101.65,0
10.39,71.94,87.67,73.97,1
56.66,72.85,85.79,924.65,1
16.61,49.98,43.22,134.37,0
23.77,19.79,30.18,49.37,0
4.26,35.8,24.14,149.12,0
51.22,49.08,54.7,103.18,0
21.09,40.02,40.59,104.43,0
93.09,33.35,61.7,1038.82,1
30.9,43.81,41.27,221.25,0
39.91,40.95,19.21,131.61,0
38.46,34.15,46.62,196.77,0
20.54,36.84,40.46,5782.25,1
41.75,26.37,54.97,227.11,0
83.99,38.77,37.21,3704.03,1
9.91,30.91,41.52,126.55,0
37.04,30.51,43.94,138.25,0
42.99,44.48,56.53,157.03,0
37.99,47.39,40.81,164.68,0
38.76,44.0,54.21,204.84,0
34.7,79.27,38.38,111.74,1
49.98,45.09,46.34,268.45,0
24.34,38.01,65.5,176.15,0
55.94,52.15,62.89,1876.84,1
21.4,30.04,39.22,95.58,0
36.05,24.96,39.73,209.38,0
31.19,40.89,43.0,154.58,0
32.14,47.03,38.33,152.18,0
37.2,33.35,42.54,180.14,0
13.21,15.55,46.78,203.02,0
90.85,95.06,92.59,6127.68,1
50.12,69.6,67.4,237.48,0
9.9,39.17,41.61,211.08,0
100.0,24.3,42.66,131.8,1
27.83,32.1,54.15,103.97,0
28.11,38.03,57.28,77.37,0
13.16,27.55,32.15,123.74,0
18.04,28.14,50.72,136.67,0
36.75,60.51,16.78,105.11,0
17.9,34.06,52.24,226.13,0
34.27,39.87,51.81,719.14,1
