n_estimators,contamination,accuracy,precision,recall,f1_score
200,0.05,0.90425,0.8020679468242246,0.6856060606060606,0.7392784206943499
300,0.1,0.88825,0.6914539400665927,0.7866161616161617,0.7359716479621973
200,0.08,0.894,0.728287841191067,0.7411616161616161,0.7346683354192741
200,0.1,0.88725,0.6892341842397336,0.7840909090909091,0.7336089781453042
300,0.05,0.901,0.7955223880597015,0.672979797979798,0.7291381668946648
300,0.08,0.8915,0.7209876543209877,0.7373737373737373,0.7290886392009988
100,0.08,0.89125,0.7315175097276264,0.7121212121212122,0.7216890595009597
300,0.03,0.90175,0.841025641025641,0.6212121212121212,0.7145969498910676
200,0.03,0.90125,0.838160136286201,0.6212121212121212,0.7135605511240029
100,0.1,0.87825,0.6727066817667045,0.75,0.7092537313432836
200,0.15,0.85925,0.6010591350397175,0.8598484848484849,0.7075324675324676
300,0.15,0.8565,0.5964601769911504,0.851010101010101,0.7013527575442248
100,0.05,0.893,0.784375,0.6338383838383839,0.7011173184357542
100,0.15,0.8495,0.5873161764705882,0.8068181818181818,0.6797872340425531
100,0.03,0.885,0.8229571984435797,0.5340909090909091,0.6477794793261868
